	label	title	auth	year	freq	htid	file	path	words	read	pre	verb	nounp
1321	p	Elements of inductive logic. By Noah K. Davis.	Davis, Noah K. 1830-1910.	1895.0	0.111741699	uc2.ark:/13960/t2h70c099	uc2.ark+=13960=t2h70c099	basic/uc2/pairtree_root/ar/k+/=1/39/60/=t/2h/70/c0/99/ark+=13960=t2h70c099/uc2.ark+=13960=t2h70c099.basic.json.bz2	6361.0	15.132615353092763	0.32978723404255317	0.1425876434522874	0.026410941675837133
1322	ed	Outlines of study and instruction in the theory and art of teaching, by Daniel Putnam ...	Putnam, Daniel, 1824-1906.	1883.0	0.111741231	loc.ark:/13960/t2j67x241	loc.ark+=13960=t2j67x241	basic/loc/pairtree_root/ar/k+/=1/39/60/=t/2j/67/x2/41/ark+=13960=t2j67x241/loc.ark+=13960=t2j67x241.basic.json.bz2	83016.0	12.904039525771108	0.41771520750843233	0.14763419099932543	0.029151007034788474
1323	p	Introduction to the science of ethics,	De Laguna, Theodore, 1876-1930.	1914.0	0.11171065699999999	uc2.ark:/13960/t10p0zp3z	uc2.ark+=13960=t10p0zp3z	basic/uc2/pairtree_root/ar/k+/=1/39/60/=t/10/p0/zp/3z/ark+=13960=t10p0zp3z/uc2.ark+=13960=t10p0zp3z.basic.json.bz2	262894.0	16.513288899331133	0.37569180919657713	0.10628998759956484	0.06014971813734813
1324	soc	Principles of western civilisation; by Benjamin Kidd.	Kidd, Benjamin, 1858-1916.	1902.0	0.11169497	uc2.ark:/13960/t7mp4zd53	uc2.ark+=13960=t7mp4zd53	basic/uc2/pairtree_root/ar/k+/=1/39/60/=t/7m/p4/zd/53/ark+=13960=t7mp4zd53/uc2.ark+=13960=t7mp4zd53.basic.json.bz2	103300.0	13.256601811519428	0.44586179188429087	0.11861568247821878	0.06561471442400775
1325	ed	What should secular education embrace? By George Combe ...	Combe, George, 1788-1858.	1848.0	0.111687009	mdp.39015048489507	mdp.39015048489507	basic/mdp/pairtree_root/39/01/50/48/48/95/07/39015048489507/mdp.39015048489507.basic.json.bz2	25390.0	12.291982102306289	0.4108494533221194	0.12063804647499016	0.03371406065380071
1326	p	Lectures upon the philosophy of history. By William G. T. Shedd.	Shedd, William G. T. 1820-1894.	1857.0	0.111683619	loc.ark:/13960/t83j3zx08	loc.ark+=13960=t83j3zx08	basic/loc/pairtree_root/ar/k+/=1/39/60/=t/83/j3/zx/08/ark+=13960=t83j3zx08/loc.ark+=13960=t83j3zx08.basic.json.bz2	10292.0	11.191860983981694	0.424980959634425	0.1341818888457054	0.030023319082782742
1327	soc	Culture and war, by Simon Nelson Patten.	Patten, Simon N. 1852-1922.	1916.0	0.111683269	loc.ark:/13960/t7vm4q42n	loc.ark+=13960=t7vm4q42n	basic/loc/pairtree_root/ar/k+/=1/39/60/=t/7v/m4/q4/2n/ark+=13960=t7vm4q42n/loc.ark+=13960=t7vm4q42n.basic.json.bz2	125609.0	12.019567947751057	0.4046904315196998	0.11941819455612257	0.04523561209785923
1328	p	Bergson; an exposition and criticism from the point of view of St. Thomas Aquinas. By Thomas J. Gerrard.	Gerrard, Thomas John, 1871-1916.	1913.0	0.111673812	uc2.ark:/13960/t7np20w3c	uc2.ark+=13960=t7np20w3c	basic/uc2/pairtree_root/ar/k+/=1/39/60/=t/7n/p2/0w/3c/ark+=13960=t7np20w3c/uc2.ark+=13960=t7np20w3c.basic.json.bz2	223038.0	13.102386150989137	0.43834452177126315	0.14389476232749576	0.025130246863763125
1329	?	Human efficiency; a psychological study of modern problems, by Horatio W. Dresser.	Dresser, Horatio W. 1866-	1912.0	0.111663551	uc2.ark:/13960/t01z43s4r	uc2.ark+=13960=t01z43s4r	basic/uc2/pairtree_root/ar/k+/=1/39/60/=t/01/z4/3s/4r/ark+=13960=t01z43s4r/uc2.ark+=13960=t01z43s4r.basic.json.bz2	59323.0	11.959737019591625	0.44606077399094857	0.1252802454360029	0.04146789609426361
1330	theo	Religion and the school, by Emil Carl Wilm.	Wilm, Emil Carl, 1877-1932.	1918.0	0.11165924699999999	loc.ark:/13960/t5h99vp2m	loc.ark+=13960=t5h99vp2m	basic/loc/pairtree_root/ar/k+/=1/39/60/=t/5h/99/vp/2m/ark+=13960=t5h99vp2m/loc.ark+=13960=t5h99vp2m.basic.json.bz2	21676.0	13.649287718770434	0.3162384049472225	0.13604908654733347	0.03469274773943532
1331	ed	The elements of pedagogy; A manual for teachers, normal schools, normal institutes and all persons interested in school education.	White, Emerson E. 1829-1902.	1886.0	0.11165825800000001	loc.ark:/13960/t6737d86r	loc.ark+=13960=t6737d86r	basic/loc/pairtree_root/ar/k+/=1/39/60/=t/67/37/d8/6r/ark+=13960=t6737d86r/loc.ark+=13960=t6737d86r.basic.json.bz2	87921.0	15.24151974366291	0.3823829961169017	0.1348824512915003	0.009576779154013263
1332	sci	The love life of the unconscious mind, by Joseph Ralph ...	Ralph, Joseph. 1869-	1921.0	0.111654579	uc2.ark:/13960/t8hd7r359	uc2.ark+=13960=t8hd7r359	basic/uc2/pairtree_root/ar/k+/=1/39/60/=t/8h/d7/r3/59/ark+=13960=t8hd7r359/uc2.ark+=13960=t8hd7r359.basic.json.bz2	60574.0	10.54888725355475	0.4722786784515763	0.11988641991613563	0.06664575560471489
1333	ed	Education and social life;	Harper, James Wilson.	1907.0	0.111638112	uc2.ark:/13960/t1tf00b4d	uc2.ark+=13960=t1tf00b4d	basic/uc2/pairtree_root/ar/k+/=1/39/60/=t/1t/f0/0b/4d/ark+=13960=t1tf00b4d/uc2.ark+=13960=t1tf00b4d.basic.json.bz2	12962.0	15.508824620190758	0.35034904013961604	0.10847091498225582	0.05323252584477704
1334	p	A history of European thought in the nineteenth century, by John Theodore Merz	Merz, John Theodore, 1840-1922.	1896.0	0.111633057	uc2.ark:/13960/t45q4vb1h	uc2.ark+=13960=t45q4vb1h	basic/uc2/pairtree_root/ar/k+/=1/39/60/=t/45/q4/vb/1h/ark+=13960=t45q4vb1h/uc2.ark+=13960=t45q4vb1h.basic.json.bz2	3581.0	9.890558880758007	0.47989276139410186	0.1466070929907847	0.02513264451270595
1335	theo	A handbook of Christian apologetics, by Alfred Ernest Garvie.	Garvie, Alfred Ernest, 1861-	1913.0	0.111625559	uc2.ark:/13960/t2m61d92b	uc2.ark+=13960=t2m61d92b	basic/uc2/pairtree_root/ar/k+/=1/39/60/=t/2m/61/d9/2b/ark+=13960=t2m61d92b/uc2.ark+=13960=t2m61d92b.basic.json.bz2	71913.0	11.311860038871085	0.4178162885265838	0.12441422274136804	0.044108853753841444
1336	ed	Suggestion in education ...	Clark, William Arthur, 1853- [from old catalog]	1900.0	0.111615721	loc.ark:/13960/t8tb1xb0x	loc.ark+=13960=t8tb1xb0x	basic/loc/pairtree_root/ar/k+/=1/39/60/=t/8t/b1/xb/0x/ark+=13960=t8tb1xb0x/loc.ark+=13960=t8tb1xb0x.basic.json.bz2	98907.0	11.333908285858861	0.4992738965821275	0.13823086333626539	0.022677869109365364
1337	?	Inaugural address delivered at the annual commencement of Knox college, Galesburg, Ill., June 25, 1863,	Curtis, William Stanton, 1820-1885. [from old catalog]	1863.0	0.11161007699999999	loc.ark:/13960/t9r21pt63	loc.ark+=13960=t9r21pt63	basic/loc/pairtree_root/ar/k+/=1/39/60/=t/9r/21/pt/63/ark+=13960=t9r21pt63/loc.ark+=13960=t9r21pt63.basic.json.bz2	128359.0	17.99547195733061	0.4494498278846728	0.11721032416893244	0.022811022211142187
