effect	1350	9647491
action	1300	9580744
ground	900	9536399
hands	900	9533335
home	900	9499312
sometimes	900	9484597
earth	950	9370995
passed	1400	9361261
v	0	9334923
latter	1000	9302509
line	1000	9289440
age	1225	9279145
purpose	1250	9266416
family	1350	9201040
system	1610	9200756
natural	1300	9173294
army	1350	9171016
party	1250	9142838
interest	1225	9127974
river	1250	9050567
view	1375	9048057
poor	1150	9004895
money	1250	8990391
sea	900	8978689
towards	1	8924395
eyes	900	8848266
knowledge	900	8841656
s	0	8838151
saw	900	8824814
believe	1150	8775939
seems	1150	8758167
became	900	8730120
early	950	8718420
air	1150	8707355
period	1375	8663610
free	900	8643727
united	1400	8617301
twenty	900	8588760
sense	1350	8572977
france	0	8521715
greater	900	8512267
heard	950	8498471
short	900	8483611
north	900	8473754
society	1525	8469745
works	900	8423255
although	1	8379224
hope	900	8339432
enough	900	8333908
white	900	8331745
quite	1175	8327798
friend	900	8322712
friends	900	8312140
generally	1250	8296397
look	900	8266443
object	1325	8261206
moment	1300	8184600
possible	1300	8180571
thousand	900	8176205
company	1200	8115519
opinion	1250	8114431
thou	1	8077107
various	1545	8034196
former	1125	8026726
return	1275	8019132
thy	1	8015259
position	1325	8002849
per	1580	7998492
read	900	7995901
london	0	7979766
six	900	7977737
south	900	7960206
religion	1150	7957379
making	900	7942975
faith	1200	7933046
art	0	7893617
further	900	7889091
miles	1000	7881846
length	900	7862786
told	900	7856690
mother	900	7855706
alone	900	7855518
influence	1325	7846706
et	0	7845960
rest	900	7820990
strong	900	7819605
nearly	900	7798828
morning	900	7756298
christian	1250	7748545
show	900	7714581
face	1250	7708744
seemed	1150	7700483
chapter	1175	7690750
open	900	7680579
peace	1125	7664482
why	1	7647067
formed	1175	7634073
able	1275	7627517
chief	1250	7606355
authority	1200	7569155
laws	1000	7560678
condition	1275	7559382
important	1580	7550925
fire	900	7535659
service	1100	7522650
placed	950	7492228
blood	1000	7433255
ancient	1300	7328922
wife	900	7317060
carried	1275	7302644
doubt	1175	7289028
lady	900	7284060
especially	1350	7265027
get	1150	7252500
third	900	7243236
probably	1350	7211989
mrs	0	7202672
room	900	7178927
appear	1250	7163842
something	900	7152673
round	1250	7139818
master	900	7137074
afterwards	900	7092373
office	1200	7031121
ought	900	7027521
duty	1250	7021223
ten	900	7014535
myself	1	7010819
property	1250	7008149
iii	0	7002268
continued	1300	6912248
soul	900	6910824
william	0	6909907
neither	1150	6907052
tell	900	6894194
respect	1300	6879452
circumstances	1175	6878981
along	1	6858333
business	950	6854377
written	900	6851493
language	1250	6827876
leave	900	6822524
lost	900	6816999
considered	1595	6805993
school	900	6793964
la	0	6732395
author	1250	6718796
died	1150	6698586
value	1275	6694862
holy	900	6690987
